ERROR: system: AutoSpawner is already defined in that package
INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
<AdvancedMachines:blockAdvMachine>, §6Роторный дробитель
<AdvancedSolarPanel:BlockAdvSolarPanel>, Улучшенная солнечная панель
<AdvancedSolarPanel:BlockMolecularTransformer>, Молекулярный преобразователь
<AdvancedSolarPanel:advanced_solar_helmet>, Улучшенный солнечный шлем
<AdvancedSolarPanel:asp_crafting_items>, Саннариум
<AdvancedSolarPanel:hybrid_solar_helmet>, Гибридный солнечный шлем
<AdvancedSolarPanel:ultimate_solar_helmet>, Ультимейт солнечный шлем
<AutoCrafter2000:AutoCrafter>, AutoCrafter
<Backpack:backpack>, Backpack
<Backpack:boundLeather>, Bound Leather
<Backpack:tannedLeather>, Tanned Leather
<Backpack:workbenchbackpack>, Workbench Backpack
<Baubles:Ring>, Кольцо шахтёра
<BigReactors:BRDebugTool>, Инструмент диагностики BeefTronic™
<BigReactors:BRDevice>, Переработчик цианита
<BigReactors:BRIngot>, Йеллориумовый слиток
<BigReactors:BRMetalBlock>, Йеллориумовый блок
<BigReactors:BRMultiblockCreativePart>, Реакторный творческий порт охлаждения
<BigReactors:BRMultiblockGlass>, Реакторное стекло
<BigReactors:BRReactorPart>, Реакторный корпус
<BigReactors:BRReactorRedstonePort>, Красный порт реактора
<BigReactors:BRTurbinePart>, Турбинный корпус
<BigReactors:BRTurbineRotorPart>, Вал ротора турбины
<BigReactors:YelloriteOre>, Йелоритовая руда
<BigReactors:YelloriumFuelRod>, Йеллориумовый топливный стержень
<BigReactors:bucketCyanite>, Ведро жидкого цианита
<BigReactors:bucketYellorium>, Ведро жидкого йеллориума
<BigReactors:tile.fluid.cyanite.still>, Жидкий цианит
<BigReactors:tile.fluid.yellorium.still>, Жидкий йеллориум
<Botania:aesirRing>, Ring of the Aesir
<Botania:alchemyCatalyst>, Алхимический катализатор
<Botania:alfheimPortal>, Ядро эльфийских врат
<Botania:altGrass>, Dry Grass
<Botania:altar>, Лепестковый аптекарь
<Botania:ancientWill>, Will of Ahrim
<Botania:auraRing>, Кольцо ауры
<Botania:auraRingGreater>, Сильное кольцо ауры
<Botania:autocraftingHalo>, Manufactory Halo
<Botania:avatar>, Livingwood Avatar
<Botania:baubleBox>, Bauble Case
<Botania:bellows>, Manatide Bellows
<Botania:bifrost>, Temporary Bifrost Block
<Botania:bifrostPerm>, Bifrost Block
<Botania:bifrostPermPane>, Bifrost Pane
<Botania:biomeStoneA>, Metamorphic Forest Stone
<Botania:biomeStoneA0Slab>, Metamorphic Forest Stone Slab
<Botania:biomeStoneA0SlabFull>, Metamorphic Forest Stone Slab
<Botania:biomeStoneA0Stairs>, Metamorphic Forest Stone Stairs
<Botania:biomeStoneA0Wall>, Metamorphic Forest Cobblestone Wall
<Botania:biomeStoneA10Slab>, Metamorphic Mountain Cobblestone Slab
<Botania:biomeStoneA10SlabFull>, Metamorphic Mountain Cobblestone Slab
<Botania:biomeStoneA10Stairs>, Metamorphic Mountain Cobblestone Stairs
<Botania:biomeStoneA11Slab>, Metamorphic Fungal Cobblestone Slab
<Botania:biomeStoneA11SlabFull>, Metamorphic Fungal Cobblestone Slab
<Botania:biomeStoneA11Stairs>, Metamorphic Fungal Cobblestone Stairs
<Botania:biomeStoneA12Slab>, Metamorphic Swamp Cobblestone Slab
<Botania:biomeStoneA12SlabFull>, Metamorphic Swamp Cobblestone Slab
<Botania:biomeStoneA12Stairs>, Metamorphic Swamp Cobblestone Stairs
<Botania:biomeStoneA13Slab>, Metamorphic Desert Cobblestone Slab
<Botania:biomeStoneA13SlabFull>, Metamorphic Desert Cobblestone Slab
<Botania:biomeStoneA13Stairs>, Metamorphic Desert Cobblestone Stairs
<Botania:biomeStoneA14Slab>, Metamorphic Taiga Cobblestone Slab
<Botania:biomeStoneA14SlabFull>, Metamorphic Taiga Cobblestone Slab
<Botania:biomeStoneA14Stairs>, Metamorphic Taiga Cobblestone Stairs
<Botania:biomeStoneA15Slab>, Metamorphic Mesa Cobblestone Slab
<Botania:biomeStoneA15SlabFull>, Metamorphic Mesa Cobblestone Slab
<Botania:biomeStoneA15Stairs>, Metamorphic Mesa Cobblestone Stairs
<Botania:biomeStoneA1Slab>, Metamorphic Plains Stone Slab
<Botania:biomeStoneA1SlabFull>, Metamorphic Plains Stone Slab
<Botania:biomeStoneA1Stairs>, Metamorphic Plains Stone Stairs
<Botania:biomeStoneA2Slab>, Metamorphic Mountain Stone Slab
<Botania:biomeStoneA2SlabFull>, Metamorphic Mountain Stone Slab
<Botania:biomeStoneA2Stairs>, Metamorphic Mountain Stone Stairs
<Botania:biomeStoneA3Slab>, Metamorphic Fungal Stone Slab
<Botania:biomeStoneA3SlabFull>, Metamorphic Fungal Stone Slab
<Botania:biomeStoneA3Stairs>, Metamorphic Fungal Stone Stairs
<Botania:biomeStoneA4Slab>, Metamorphic Swamp Stone Slab
<Botania:biomeStoneA4SlabFull>, Metamorphic Swamp Stone Slab
<Botania:biomeStoneA4Stairs>, Metamorphic Swamp Stone Stairs
<Botania:biomeStoneA5Slab>, Metamorphic Desert Stone Slab
<Botania:biomeStoneA5SlabFull>, Metamorphic Desert Stone Slab
<Botania:biomeStoneA5Stairs>, Metamorphic Desert Stone Stairs
<Botania:biomeStoneA6Slab>, Metamorphic Taiga Stone Slab
<Botania:biomeStoneA6SlabFull>, Metamorphic Taiga Stone Slab
<Botania:biomeStoneA6Stairs>, Metamorphic Taiga Stone Stairs
<Botania:biomeStoneA7Slab>, Metamorphic Mesa Stone Slab
<Botania:biomeStoneA7SlabFull>, Metamorphic Mesa Stone Slab
<Botania:biomeStoneA7Stairs>, Metamorphic Mesa Stone Stairs
<Botania:biomeStoneA8Slab>, Metamorphic Forest Cobblestone Slab
<Botania:biomeStoneA8SlabFull>, Metamorphic Forest Cobblestone Slab
<Botania:biomeStoneA8Stairs>, Metamorphic Forest Cobblestone Stairs
<Botania:biomeStoneA9Slab>, Metamorphic Plains Cobblestone Slab
<Botania:biomeStoneA9SlabFull>, Metamorphic Plains Cobblestone Slab
<Botania:biomeStoneA9Stairs>, Metamorphic Plains Cobblestone Stairs
<Botania:biomeStoneB>, Metamorphic Forest Stone Bricks
<Botania:biomeStoneB0Slab>, Metamorphic Forest Stone Brick Slab
<Botania:biomeStoneB0SlabFull>, Metamorphic Forest Stone Brick Slab
<Botania:biomeStoneB0Stairs>, Metamorphic Forest Stone Brick Stairs
<Botania:biomeStoneB1Slab>, Metamorphic Plains Stone Brick Slab
<Botania:biomeStoneB1SlabFull>, Metamorphic Plains Stone Brick Slab
<Botania:biomeStoneB1Stairs>, Metamorphic Plains Stone Brick Stairs
<Botania:biomeStoneB2Slab>, Metamorphic Mountain Stone Brick Slab
<Botania:biomeStoneB2SlabFull>, Metamorphic Mountain Stone Brick Slab
<Botania:biomeStoneB2Stairs>, Metamorphic Mountain Stone Brick Stairs
<Botania:biomeStoneB3Slab>, Metamorphic Fungal Stone Brick Slab
<Botania:biomeStoneB3SlabFull>, Metamorphic Fungal Stone Brick Slab
<Botania:biomeStoneB3Stairs>, Metamorphic Fungal Stone Brick Stairs
<Botania:biomeStoneB4Slab>, Metamorphic Swamp Stone Brick Slab
<Botania:biomeStoneB4SlabFull>, Metamorphic Swamp Stone Brick Slab
<Botania:biomeStoneB4Stairs>, Metamorphic Swamp Stone Brick Stairs
<Botania:biomeStoneB5Slab>, Metamorphic Desert Stone Brick Slab
<Botania:biomeStoneB5SlabFull>, Metamorphic Desert Stone Brick Slab
<Botania:biomeStoneB5Stairs>, Metamorphic Desert Stone Brick Stairs
<Botania:biomeStoneB6Slab>, Metamorphic Taiga Stone Brick Slab
<Botania:biomeStoneB6SlabFull>, Metamorphic Taiga Stone Brick Slab
<Botania:biomeStoneB6Stairs>, Metamorphic Taiga Stone Brick Stairs
<Botania:biomeStoneB7Slab>, Metamorphic Mesa Stone Bricks Slab
<Botania:biomeStoneB7SlabFull>, Metamorphic Mesa Stone Bricks Slab
<Botania:biomeStoneB7Stairs>, Metamorphic Mesa Stone Bricks Stairs
<Botania:blackHoleTalisman>, Black Hole Talisman
<Botania:blackLotus>, Black Lotus
<Botania:blazeBlock>, Blaze Lamp
<Botania:bloodPendant>, Tainted Blood Pendant
<Botania:brewFlask>, Flask of Fallback (§l6§r)
<Botania:brewVial>, Vial of Fallback (§l4§r)
<Botania:brewery>, Botanical Brewery
<Botania:buriedPetals>, Buried White Petal
<Botania:cacophonium>, Cacophonium
<Botania:cacophoniumBlock>, Cacophonium Block
<Botania:cellBlock>, Cellular Block
<Botania:clip>, Lens Clip
<Botania:cobbleRod>, Rod of the Depths
<Botania:cocoon>, Cocoon of Caprice
<Botania:conjurationCatalyst>, Колдовской катализатор
<Botania:corporeaCrystalCube>, Corporea Crystal Cube
<Botania:corporeaFunnel>, Corporea Funnel
<Botania:corporeaIndex>, Corporea Index
<Botania:corporeaInterceptor>, Corporea Interceptor
<Botania:corporeaRetainer>, Corporea Retainer
<Botania:corporeaSpark>, Corporea Spark
<Botania:cosmetic>, Black Bowtie
<Botania:craftPattern>, Crafting Pattern #1: 1x1
<Botania:craftingHalo>, Assembly Halo
<Botania:crystalBow>, Crystal Bow
<Botania:customBrick>, Адский кирпич
<Botania:customBrick0Slab>, Плита из адского кирпича
<Botania:customBrick0SlabFull>, Hellish Brick Slab
<Botania:customBrick0Stairs>, Ступеньки из адского кирпича
<Botania:customBrick1Slab>, Плита из душевного кирпича
<Botania:customBrick1SlabFull>, Soul Brick Slab
<Botania:customBrick1Stairs>, Ступеньки из душевного кирпича
<Botania:customBrick2Slab>, Плита из ледяного кирпича
<Botania:customBrick2SlabFull>, Frosty Brick Slab
<Botania:customBrick2Stairs>, Ступеньки из ледяного кирпича
<Botania:customBrick3Slab>, Плита из черепицы
<Botania:customBrick3SlabFull>, Roof Tile Slab
<Botania:customBrick3Stairs>, Ступеньки из черепицы
<Botania:dice>, Dice of Fate
<Botania:dirtPath>, Trodden Dirt
<Botania:dirtPath0Slab>, Trodden Dirt Slab
<Botania:dirtPath0SlabFull>, Trodden Dirt Slab
<Botania:dirtRod>, Жезл Земель
<Botania:distributor>, Распределитель маны
<Botania:divaCharm>, Шарм Дивы
<Botania:diviningRod>, Жезл Волхвов
<Botania:doubleFlower1>, Tall Mystical White Flower
<Botania:doubleFlower2>, Tall Mystical Light Gray Flower
<Botania:dreamwood>, Древесина мечтаний
<Botania:dreamwood0Slab>, Плита из древесины мечтаний
<Botania:dreamwood0SlabFull>, Dreamwood Slab
<Botania:dreamwood0Stairs>, Ступеньки из древесины мечтаний
<Botania:dreamwood0Wall>, Dreamwood Wall
<Botania:dreamwood1Slab>, Плита из досок мечтаний
<Botania:dreamwood1SlabFull>, Dreamwood Plank Slab
<Botania:dreamwood1Stairs>, Ступеньки из досок мечтаний
<Botania:dye>, Белая цветковая пыльца
<Botania:elementiumAxe>, Топор из элементия
<Botania:elementiumBoots>, Ботинки из элементия
<Botania:elementiumChest>, Кираса из элементия
<Botania:elementiumHelm>, Шлем из элементия
<Botania:elementiumHelmReveal>, Шлем откровения из элементия
<Botania:elementiumLegs>, Поножи из элементия
<Botania:elementiumPick>, Кирка из элементия
<Botania:elementiumShears>, Ножницы из элементия
<Botania:elementiumShovel>, Лопата из элементия
<Botania:elementiumSword>, Меч из элементия
<Botania:elfGlass>, Эльфийское стекло
<Botania:elfGlassPane>, Alfglass Pane
<Botania:enchantedSoil>, Enchanted Soil
<Botania:enchanter>, Маночарователь
<Botania:endStoneBrick>, End Stone Bricks
<Botania:endStoneBrick0Slab>, End Stone Brick Slab
<Botania:endStoneBrick0SlabFull>, End Stone Brick Slab
<Botania:endStoneBrick0Stairs>, End Stone Brick Stairs
<Botania:endStoneBrick2Slab>, Ender Brick Slab
<Botania:endStoneBrick2SlabFull>, Ender Brick Slab
<Botania:endStoneBrick2Stairs>, Ender Brick Stairs
<Botania:enderDagger>, Бесплотный резчик
<Botania:enderEyeBlock>, Наблюдатель
<Botania:enderHand>, Рука Края
<Botania:exchangeRod>, Rod of the Shifting Crust
<Botania:fakeAir>, tile.botania:fakeAir.name
<Botania:felPumpkin>, Fel Pumpkin
<Botania:fertilizer>, Цветочное удобрение
<Botania:fireRod>, Жезл Ада
<Botania:flightTiara>, Крылатая тиара
<Botania:floatingSpecialFlower>, Floating Цветок Botania
<Botania:flower>, Мистический белый цветок
<Botania:flowerBag>, Flower Pouch
<Botania:flugelEye>, Eye of the Flügel
<Botania:forestDrum>, Барабан дикой природы
<Botania:forestEye>, Глаз древних
<Botania:gaiaHead>, Gaia Guardian's Head
<Botania:gaiaHeadBlock>, Gaia Guardian's Head
<Botania:ghostRail>, Spectral Rail
<Botania:glassPick>, Стеклянная кирка
<Botania:goldenLaurel>, Золотой лавровый венок
<Botania:grassHorn>, Рог дикой природы
<Botania:grassSeeds>, Луговое семя
<Botania:gravityRod>, Жезл Чёрной Мессы
<Botania:holyCloak>, Cloak of Virtue
<Botania:hourglass>, Hovering Hourglass
<Botania:icePendant>, Кулон со снежинкой
<Botania:incensePlate>, Incense Plate
<Botania:incenseStick>, Incense Stick
<Botania:infiniteFruit>, The Fruit of Grisaia
<Botania:itemFinder>, Инспектор
<Botania:keepIvy>, Resolute Ivy
<Botania:kingKey>, Key of the King's Law
<Botania:knockbackBelt>, Тектонический пояс
<Botania:laputaShard>, Осколок острова Лапута
<Botania:lavaPendant>, Пирокластический кулон
<Botania:lens>, Линзы маны
<Botania:lexicon>, Лексика Botania
<Botania:lightLauncher>, Luminizer Launcher
<Botania:lightRelay>, Luminizer
<Botania:livingrock>, Жизнекамень
<Botania:livingrock0Slab>, Плита из жизнекамня
<Botania:livingrock0SlabFull>, Livingrock Slab
<Botania:livingrock0Stairs>, Ступеньки из жизнекамня
<Botania:livingrock0Wall>, Livingrock Wall
<Botania:livingrock1Slab>, Плита из живого кирпича
<Botania:livingrock1SlabFull>, Livingrock Brick Slab
<Botania:livingrock1Stairs>, Ступеньки из живого кирпича
<Botania:livingwood>, Жизнедерево
<Botania:livingwood0Slab>, Плита из жизнедерева
<Botania:livingwood0SlabFull>, Livingwood Slab
<Botania:livingwood0Stairs>, Ступеньки из жизнедерева
<Botania:livingwood0Wall>, Livingwood Wall
<Botania:livingwood1Slab>, Плита из живых досок
<Botania:livingwood1SlabFull>, Livingwood Plank Slab
<Botania:livingwood1Stairs>, Ступеньки из живых досок
<Botania:livingwoodBow>, Livingwood Bow
<Botania:lokiRing>, Ring of Loki
<Botania:magnetRing>, Кольцо магнетизма
<Botania:magnetRingGreater>, Greater Ring of Magnetization
